event_time|order_id|category_id|brand|price|user_id|category|product
2020-04-29 12:48:36|2298012983688692346|2268105390484882084|tefal|81.00|1515915625452171467|appliances|iron
2020-04-29 12:51:31|2298014448792634130|2268105440917193414|maxwell|16.18|1515915625449402523|appliances|mixer
2020-04-29 12:51:36|2298014487472505625|2268105406549066706|logitech|77.52|1515915625445675883|computers|mouse
2020-04-29 12:59:41|2298018560376570085|2268105441856717530|vitek|20.81|1515915625452211455|appliances|kettle
2020-04-29 12:59:46|2298018598116917482|2268105428250395064|panasonic|29.14|1515915625452200691|electronics|telephone
2020-04-29 13:02:59|2298020220926689678|2268105428166508982|samsung|138.87|1515915625452094662|electronics|smartphone
2020-04-29 13:03:18|2298020380796780966|2268105441009468104|moulinex|57.85|1515915625444057633|appliances|meat_grinder
2020-04-29 13:04:58|2298021217040335364|2268105430162997728|sony|9.24|1515915625452214059|electronics|headphone
2020-04-29 13:14:42|2298026113470825457|2268105402556089218|imetec|20.81|1515915625451952331|appliances|hair_cutter
2020-04-29 13:15:08|2298026333160079366|2268105430162997728|panasonic|3.45|1515915625441631626|electronics|headphone
2020-04-29 13:23:08|2298030363735228851|2268105392925967052|ava|11.55|1515915625451561768|appliances|air_heater
2020-04-29 13:27:58|2298032794787381933|2268105407220155366|lenovo|479.14|1515915625452207777|computers|notebook
2020-04-29 13:29:33|2298033587376620288|2268105428166508982|xiaomi|148.82|1515915625452214898|electronics|smartphone
2020-04-29 13:31:17|2298034461511517018|2268105464925389002|globber|138.63|1515915625452201337|kids|skates
2020-04-29 13:31:33|2298034599193740139|2268105389956399770|samsung|451.37|1515915625441412841|appliances|washer
2020-04-29 13:31:33|2298034599193740139|2268105441009468104|philips|115.72|1515915625441412841|appliances|meat_grinder
2020-04-29 13:31:33|2298034599193740139|2268105442636858090|rondell|20.81|1515915625441412841|furniture|table
2020-04-29 13:31:33|2298034599193740139|2268105439247860386|samsung|122.66|1515915625441412841|appliances|microwave
2020-04-29 13:31:55|2298034778315686781|2268105441101742794|polaris|32.38|1515915625452149364|appliances|blender
2020-04-29 13:41:10|2298039440460742945|2268105406549066706|razer|39.10|1515915625514808023|computers|mouse
2020-04-29 13:41:29|2298039596253970735|2268105406549066706|delux|6.00|1515915625444730113|computers|mouse
2020-04-29 13:44:24|2298041066449797558|2268105439247860386|ava|43.96|1515915625451671201|appliances|microwave
2020-04-29 13:46:38|2298042192276488730|2268105440917193414|polaris|46.27|1515915625443915472|appliances|mixer
2020-04-29 13:46:55|2298042329916768810|2268105426648170900|prestigio|81.00|1515915625452207811|electronics|tablet
2020-04-29 13:54:09|2298045970010604429|2268105407220155366|asus|289.33|1515915625448907381|computers|notebook
2020-04-29 13:55:16|2298046537323774910|2268105412463034456|rastar|3.45|1515915625448137384|furniture|pillow
2020-04-29 13:59:37|2298048720828104841|2268105406549066706|steelseries|92.57|1515915625446798505|computers|mouse
2020-04-29 14:01:03|2298049449580036302|2268105441856717530|philips|32.38|1515915625442715278|appliances|kettle
2020-04-29 14:01:03|2298049449580036302|2268105406456792016|microlab|27.75|1515915625442715278|computers|notebook
2020-04-29 14:02:43|2298050286561788191|2268105428074234292|nokia|22.89|1515915625452243614|electronics|telephone
2020-04-29 14:10:27|2298054179261776552|2268105392414261954|thomas|15.02|1515915625452247443|appliances|vacuum
2020-04-29 14:14:38|2298056278712255354|2268105406549066706|trust|7.38|1515915625442130251|computers|mouse
2020-04-29 14:17:49|2298057884467986457|2268105392741417672|ariston|118.03|1515915625452244970|appliances|water_heater
2020-04-29 14:17:53|2298057916059484192|2268105444734010134|fissman|8.10|1515915625441394956|furniture|shelving
2020-04-29 14:18:16|2298058110532583481|2268105428166508982|huawei|254.61|1515915625450853577|electronics|smartphone
2020-04-29 14:19:11|2298058570781950063|2268105402556089218|philips|46.27|1515915625441538501|appliances|hair_cutter
2020-04-29 14:19:11|2298058570781950063|2268105428166508982|samsung|115.72|1515915625441538501|electronics|smartphone
2020-04-29 14:19:11|2298058570781950063|2268105411523510340|samsung|53.22|1515915625441538501|accessories|bag
2020-04-29 14:19:23|2298058670690271352|2268105430162997728|samsung|81.00|1515915625452250971|electronics|headphone
2020-04-29 14:20:57|2298059465175335107|2268105408964984844|ship|6.23|1515915625452250093|computers|cooler
2020-04-29 14:25:07|2298061556522418577|2268105392070329020|samsung|69.42|1515915625449335265|appliances|vacuum
2020-04-29 14:27:40|2298062845666918937|2268105430162997728|hyperx|43.96|1515915625441552162|electronics|headphone
2020-04-29 14:31:32|2298064786681758433|2268105406549066706|bloody|25.44|1515915625451979138|computers|mouse
2020-04-29 14:40:56|2298069521983864965|2268105458902368330|sony|57.85|1515915625452168656|computers|joystick
2020-04-29 14:41:04|2298069587549225098|2268105428166508982|samsung|300.90|1515915625452242851|electronics|smartphone
2020-04-29 14:41:49|2298069964415828136|2268105407933187062|hp|152.52|1515915625443027224|computers|printer
2020-04-29 14:47:49|2298072988148302299|2268105428074234292|nokia|22.89|1515915625452260595|electronics|telephone
2020-04-29 14:48:45|2298073451031691784|2268105409048870926|tp-link|23.13|1515915625446798819|computers|router
